time,AI,RAW,PM10,RH,TEMP
2020-07-21 11:21:42,17.69,32,35,35.23,38.0
2020-07-21 11:21:29,18.39,34,38,35.06,37.98
2020-07-21 11:21:18,19.24,36,40,35.05,37.97
2020-07-21 11:21:06,19.16,36,43,35.57,37.94
2020-07-21 11:20:54,20.05,38,45,36.01,37.92
2020-07-21 11:20:43,19.14,36,44,35.87,37.92
2020-07-21 11:20:31,19.18,36,44,35.53,37.92
2020-07-21 11:20:20,22.19,41,49,35.5,37.92
2020-07-21 11:20:08,23.11,42,50,35.87,37.9
2020-07-21 11:19:56,22.15,41,54,35.77,37.89
2020-07-21 11:19:44,21.16,40,51,35.8,37.87
2020-07-21 11:19:32,18.06,33,39,36.07,37.82
2020-07-21 11:19:21,17.71,32,35,36.03,37.76
2020-07-21 11:19:08,18.06,33,37,36.06,37.7
2020-07-21 11:18:56,17.72,32,40,36.26,37.63
2020-07-21 11:18:45,19.14,36,45,36.43,37.58
2020-07-21 11:18:33,18.07,33,39,36.45,37.5
2020-07-21 11:18:22,18.42,34,44,36.52,37.43
2020-07-21 11:18:10,19.94,38,45,36.58,37.38
2020-07-21 11:17:58,19.5,37,45,36.57,37.31
2020-07-21 11:17:47,19.14,36,42,36.71,37.27
2020-07-21 11:17:35,19.14,36,45,36.74,37.23
2020-07-21 11:17:23,18.07,33,41,36.83,37.18
2020-07-21 11:17:12,18.07,33,41,37.0,37.16
2020-07-21 11:17:00,18.42,34,44,36.69,37.15
2020-07-21 11:16:48,19.5,37,46,36.76,37.12
2020-07-21 11:16:37,17.72,32,38,36.89,37.1
2020-07-21 11:16:25,19.15,36,44,37.1,37.08
2020-07-21 11:16:13,18.07,33,37,36.99,37.05
2020-07-21 11:16:02,18.8,35,40,37.4,37.01
2020-07-21 11:15:49,20.29,39,48,37.43,37.0
2020-07-21 11:15:38,18.43,34,37,37.06,37.0
2020-07-21 11:15:26,18.78,35,44,36.89,37.01
2020-07-21 11:15:16,18.78,35,41,36.82,37.04
2020-07-21 11:15:05,18.07,33,36,36.76,37.07
2020-07-21 11:14:53,19.14,36,41,36.62,37.12
2020-07-21 11:14:42,19.94,38,44,36.56,37.14
2020-07-21 11:14:30,18.77,35,40,36.42,37.16
2020-07-21 11:14:17,18.41,34,44,36.15,37.21
2020-07-21 11:14:05,19.14,36,45,36.5,37.24
2020-07-21 11:13:53,18.42,34,44,36.64,37.26
2020-07-21 11:13:42,18.42,34,40,36.5,37.25
2020-07-21 11:13:29,19.16,36,44,37.45,37.21
2020-07-21 11:13:17,19.52,37,45,37.58,37.15
2020-07-21 11:13:07,18.09,33,44,37.81,37.05
2020-07-21 11:12:54,18.8,35,42,37.7,36.99
2020-07-21 11:12:44,17.39,31,37,37.73,36.9
2020-07-21 11:12:31,17.39,31,34,37.89,36.82
2020-07-21 11:12:19,18.1,33,40,38.3,36.75
2020-07-21 11:12:08,18.81,35,40,38.19,36.68
2020-07-21 11:11:56,18.81,35,42,38.35,36.62
2020-07-21 11:11:44,17.74,32,39,38.31,36.54
2020-07-21 11:11:33,18.09,33,39,38.27,36.47
2020-07-21 11:11:21,18.09,33,36,38.16,36.4
2020-07-21 11:11:10,18.09,33,40,38.12,36.37
2020-07-21 11:10:58,17.74,32,35,38.15,36.32
2020-07-21 11:10:48,18.09,33,41,38.15,36.29
2020-07-21 11:10:35,18.44,34,40,38.04,36.27
