time,bam10,bam25
2019-09-01-01,,
2019-09-01-02,,
2019-09-01-03,,
2019-09-01-04,,
2019-09-01-05,,
2019-09-01-06,,
2019-09-01-07,,
2019-09-01-08,,
2019-09-01-09,,
2019-09-01-10,,
2019-09-01-11,,
2019-09-01-12,,
2019-09-01-13,,
2019-09-01-14,,
2019-09-01-15,,
2019-09-01-16,,
2019-09-01-17,,
2019-09-01-18,,
2019-09-01-19,,
2019-09-01-20,,
2019-09-01-21,,
2019-09-01-22,,
2019-09-01-23,,
2019-09-01-24,,
2019-09-02-01,,
2019-09-02-02,,
2019-09-02-03,,
2019-09-02-04,,
2019-09-02-05,,
2019-09-02-06,,
2019-09-02-07,,
2019-09-02-08,,
2019-09-02-09,,
2019-09-02-10,,
2019-09-02-11,,
2019-09-02-12,,
2019-09-02-13,,
2019-09-02-14,,
2019-09-02-15,,
2019-09-02-16,,
2019-09-02-17,,
2019-09-02-18,,
2019-09-02-19,,
2019-09-02-20,,
2019-09-02-21,,
2019-09-02-22,,
2019-09-02-23,,
2019-09-02-24,,
2019-09-03-01,,
2019-09-03-02,,
2019-09-03-03,,
2019-09-03-04,,
2019-09-03-05,,
2019-09-03-06,,
2019-09-03-07,,
2019-09-03-08,,
2019-09-03-09,,
2019-09-03-10,,
2019-09-03-11,,
2019-09-03-12,,
2019-09-03-13,,
2019-09-03-14,,
2019-09-03-15,,
2019-09-03-16,,
2019-09-03-17,,
2019-09-03-18,,
2019-09-03-19,,
2019-09-03-20,,
2019-09-03-21,,
2019-09-03-22,,
2019-09-03-23,,
2019-09-03-24,,
2019-09-04-01,,
2019-09-04-02,,
2019-09-04-03,,
2019-09-04-04,,
2019-09-04-05,,
2019-09-04-06,,
2019-09-04-07,,
2019-09-04-08,,
2019-09-04-09,,
2019-09-04-10,,
2019-09-04-11,,
2019-09-04-12,,
2019-09-04-13,,
2019-09-04-14,,
2019-09-04-15,,
2019-09-04-16,,
2019-09-04-17,,
2019-09-04-18,,
2019-09-04-19,,
2019-09-04-20,,
2019-09-04-21,,
2019-09-04-22,,
2019-09-04-23,,
2019-09-04-24,,
2019-09-05-01,,
2019-09-05-02,,
2019-09-05-03,,
2019-09-05-04,,
2019-09-05-05,,
2019-09-05-06,,
2019-09-05-07,,
2019-09-05-08,,
2019-09-05-09,,
2019-09-05-10,,
2019-09-05-11,,
2019-09-05-12,,
2019-09-05-13,,
2019-09-05-14,,
2019-09-05-15,,
2019-09-05-16,,
2019-09-05-17,,
2019-09-05-18,,
2019-09-05-19,,
2019-09-05-20,,
2019-09-05-21,,
2019-09-05-22,,
2019-09-05-23,,
2019-09-05-24,,
2019-09-06-01,,
2019-09-06-02,,
2019-09-06-03,,
2019-09-06-04,,
2019-09-06-05,,
2019-09-06-06,,
2019-09-06-07,,
2019-09-06-08,,
2019-09-06-09,,
2019-09-06-10,,
2019-09-06-11,,
2019-09-06-12,,
2019-09-06-13,,
2019-09-06-14,,
2019-09-06-15,,
2019-09-06-16,,
2019-09-06-17,,
2019-09-06-18,,
2019-09-06-19,,
2019-09-06-20,,
2019-09-06-21,,
2019-09-06-22,,
2019-09-06-23,,
2019-09-06-24,,
2019-09-07-01,,
2019-09-07-02,,
2019-09-07-03,,
2019-09-07-04,,
2019-09-07-05,,
2019-09-07-06,,
2019-09-07-07,,
2019-09-07-08,,
2019-09-07-09,,
2019-09-07-10,,
2019-09-07-11,,
2019-09-07-12,,
2019-09-07-13,,
2019-09-07-14,,
2019-09-07-15,,
2019-09-07-16,,
2019-09-07-17,,
2019-09-07-18,,
2019-09-07-19,,
2019-09-07-20,,
2019-09-07-21,,
2019-09-07-22,,
2019-09-07-23,,
2019-09-07-24,,
2019-09-08-01,,
2019-09-08-02,,
2019-09-08-03,,
2019-09-08-04,,
2019-09-08-05,,
2019-09-08-06,,
2019-09-08-07,,
2019-09-08-08,,
2019-09-08-09,,
2019-09-08-10,,
2019-09-08-11,,
2019-09-08-12,,
2019-09-08-13,,
2019-09-08-14,,
2019-09-08-15,,
2019-09-08-16,,
2019-09-08-17,,
2019-09-08-18,,
2019-09-08-19,,
2019-09-08-20,,
2019-09-08-21,,
2019-09-08-22,,
2019-09-08-23,,
2019-09-08-24,,
2019-09-09-01,,
2019-09-09-02,,
2019-09-09-03,,
2019-09-09-04,,
2019-09-09-05,,
2019-09-09-06,,
2019-09-09-07,,
2019-09-09-08,,
2019-09-09-09,,
2019-09-09-10,,
2019-09-09-11,,
2019-09-09-12,,
2019-09-09-13,,
2019-09-09-14,,
2019-09-09-15,,
2019-09-09-16,,
2019-09-09-17,,
2019-09-09-18,21,9
2019-09-09-19,18,8
2019-09-09-20,20,13
2019-09-09-21,22,13
2019-09-09-22,23,13
2019-09-09-23,22,13
2019-09-09-24,24,14
2019-09-10-01,42,12
2019-09-10-02,26,10
2019-09-10-03,22,12
2019-09-10-04,18,11
2019-09-10-05,18,12
2019-09-10-06,15,9
2019-09-10-07,10,6
2019-09-10-08,7,4
2019-09-10-09,8,3
2019-09-10-10,9,4
2019-09-10-11,9,4
2019-09-10-12,8,2
2019-09-10-13,17,9
2019-09-10-14,18,10
2019-09-10-15,21,10
2019-09-10-16,22,14
2019-09-10-17,23,13
2019-09-10-18,20,11
2019-09-10-19,17,8
2019-09-10-20,17,10
2019-09-10-21,20,11
2019-09-10-22,19,10
2019-09-10-23,22,15
2019-09-10-24,33,24
2019-09-11-01,29,20
2019-09-11-02,23,15
2019-09-11-03,10,8
2019-09-11-04,4,2
2019-09-11-05,5,2
2019-09-11-06,,2
2019-09-11-07,,2
2019-09-11-08,,3
2019-09-11-09,,1
2019-09-11-10,,1
2019-09-11-11,,1
2019-09-11-12,,2
2019-09-11-13,,1
2019-09-11-14,,1
2019-09-11-15,,3
2019-09-11-16,,3
2019-09-11-17,5,1
2019-09-11-18,8,2
2019-09-11-19,8,4
2019-09-11-20,6,2
2019-09-11-21,,
2019-09-11-22,,
2019-09-11-23,,
2019-09-11-24,,
2019-09-12-01,,
2019-09-12-02,,
2019-09-12-03,,
2019-09-12-04,,
2019-09-12-05,,
2019-09-12-06,,
2019-09-12-07,,
2019-09-12-08,,
2019-09-12-09,,
2019-09-12-10,,
2019-09-12-11,13,4
2019-09-12-12,13,5
2019-09-12-13,14,5
2019-09-12-14,13,5
2019-09-12-15,13,5
2019-09-12-16,11,4
2019-09-12-17,13,4
2019-09-12-18,11,5
2019-09-12-19,13,5
2019-09-12-20,14,7
2019-09-12-21,14,6
2019-09-12-22,13,6
2019-09-12-23,17,8
2019-09-12-24,13,6
2019-09-13-01,15,6
2019-09-13-02,14,7
2019-09-13-03,15,6
2019-09-13-04,13,5
2019-09-13-05,14,4
2019-09-13-06,12,4
2019-09-13-07,12,6
2019-09-13-08,12,3
2019-09-13-09,12,3
2019-09-13-10,10,3
2019-09-13-11,8,1
2019-09-13-12,12,3
2019-09-13-13,12,2
2019-09-13-14,12,4
2019-09-13-15,10,2
2019-09-13-16,11,4
2019-09-13-17,14,4
2019-09-13-18,14,8
2019-09-13-19,18,9
2019-09-13-20,16,8
2019-09-13-21,21,11
2019-09-13-22,23,13
2019-09-13-23,24,13
2019-09-13-24,23,11
2019-09-14-01,21,10
2019-09-14-02,20,10
2019-09-14-03,21,9
2019-09-14-04,17,8
2019-09-14-05,14,8
2019-09-14-06,15,7
2019-09-14-07,14,7
2019-09-14-08,15,6
2019-09-14-09,16,6
2019-09-14-10,14,6
2019-09-14-11,14,5
2019-09-14-12,14,6
2019-09-14-13,18,7
2019-09-14-14,23,11
2019-09-14-15,27,11
2019-09-14-16,23,13
2019-09-14-17,18,12
2019-09-14-18,20,13
2019-09-14-19,23,17
2019-09-14-20,23,16
2019-09-14-21,26,18
2019-09-14-22,24,16
2019-09-14-23,26,18
2019-09-14-24,28,17
2019-09-15-01,28,17
2019-09-15-02,24,15
2019-09-15-03,22,13
