,AI,RAW,PM10,RH,TEMP
2019-09-02 17:00,18.57338235,24.07720588,26.20220588,48.843125,25.79003676
2019-09-02 18:00,17.31763578,20.63258786,22.22044728,45.26824281,26.33827476
2019-09-02 19:00,14.25900641,15.69551282,17.08974359,51.58108974,23.08355769
2019-09-02 20:00,12.58254019,12.65916399,13.39871383,50.78109325,25.10434084
2019-09-02 21:00,12.86984026,12.55910543,13.36102236,46.92587859,26.28894569
2019-09-02 22:00,11.55759868,9.424342105,9.983552632,43.60957237,26.65026316
2019-09-02 23:00,13.30760383,13.66453674,14.46964856,49.0372524,23.57482428
2019-09-03 0:00,13.67677316,15.38658147,16.36102236,52.71361022,24.24916933
2019-09-03 1:00,14.41200637,17.12101911,18.25159236,53.09535032,25.44089172
2019-09-03 2:00,13.9924359,16.10897436,17.17948718,53.31923077,25.81426282
2019-09-03 3:00,17.47121406,22.56230032,23.90734824,55.13389776,26.04594249
2019-09-03 4:00,17.53663462,22.59615385,23.84615385,55.32903846,26.16522436
2019-09-03 5:00,19.5115655,26.28753994,27.84025559,56.64875399,26.22920128
2019-09-03 6:00,17.2077492,21.99356913,23.20257235,51.85205788,26.29459807
2019-09-03 7:00,18.23525478,24.0477707,25.4044586,53.65627389,26.05519108
2019-09-03 8:00,15.68460064,19.24600639,20.2172524,50.5041853,26.02520767
2019-09-03 9:00,15.6601278,19.23642173,20.47923323,51.17760383,26.02175719
2019-09-03 10:00,17.74366559,22.90032154,24.32154341,52.6292283,26.43083601
2019-09-03 11:00,16.10348387,18.91935484,19.98387097,48.88429032,25.63374194
2019-09-03 12:00,14.01794872,17.05128205,17.88461538,54.44317308,22.94394231
2019-09-03 13:00,14.62660256,17.73397436,18.89423077,52.95301282,25.06400641
2019-09-03 14:00,13.65506452,15.67096774,16.63548387,52.59125806,25.14577419
2019-09-03 15:00,11.69439739,12.35179153,13.05211726,55.58104235,25.08035831
2019-09-03 17:00,15.76396396,18.7027027,19.92792793,61.62594595,26.72864865
2019-09-03 18:00,13.63402556,16.01597444,17.29392971,65.98108626,25.88722045
2019-09-03 19:00,11.93812698,15.02539683,16.15873016,73.70961905,24.74444444
2019-09-03 20:00,8.498248408,10.18471338,10.91401274,82.78920382,23.60694268
2019-09-03 21:00,5.00275641,2.657051282,2.967948718,81.78939103,23.2625
2019-09-03 22:00,4.643878205,2,2.307692308,81.90958333,23.06791667
2019-09-03 23:00,4.426424051,1.585443038,1.800632911,81.19088608,23.04629747
2019-09-04 0:00,4.836453674,2.57827476,2.974440895,80.8985623,22.96492013
2019-09-04 1:00,4.430188679,1.729559748,1.949685535,80.45600629,22.93386792
2019-09-04 2:00,4.046835443,1.044303797,1.294303797,79.36503165,22.99990506
2019-09-04 3:00,3.784153355,0.626198083,0.782747604,78.31821086,23.10063898
2019-09-04 4:00,3.519936909,0.283911672,0.454258675,76.88334385,23.12078864
2019-09-04 5:00,3.383503185,0.108280255,0.181528662,75.98735669,23.16372611
2019-09-04 6:00,3.793450479,0.725239617,0.875399361,76.74255591,23.22670927
