,AI,RAW,PM10,RH,TEMP,bam10,bam25
2019-09-01 01:00,,,,,,,
2019-09-01 02:00,,,,,,,
2019-09-01 03:00,,,,,,,
2019-09-01 04:00,,,,,,,
2019-09-01 05:00,,,,,,,
2019-09-01 06:00,,,,,,,
2019-09-01 07:00,,,,,,,
2019-09-01 08:00,,,,,,,
2019-09-01 09:00,,,,,,,
2019-09-01 10:00,,,,,,,
2019-09-01 11:00,,,,,,,
2019-09-01 12:00,,,,,,,
2019-09-01 13:00,,,,,,,
2019-09-01 14:00,,,,,,,
2019-09-01 15:00,,,,,,,
2019-09-01 16:00,,,,,,,
2019-09-01 17:00,,,,,,,
2019-09-01 18:00,,,,,,,
2019-09-01 19:00,,,,,,,
2019-09-01 20:00,,,,,,,
2019-09-01 21:00,,,,,,,
2019-09-01 22:00,,,,,,,
2019-09-01 23:00,,,,,,,
2019-09-02 00:00,,,,,,,
2019-09-02 01:00,,,,,,,
2019-09-02 02:00,,,,,,,
2019-09-02 03:00,,,,,,,
2019-09-02 04:00,,,,,,,
2019-09-02 05:00,,,,,,,
2019-09-02 06:00,,,,,,,
2019-09-02 07:00,,,,,,,
2019-09-02 08:00,,,,,,,
2019-09-02 09:00,,,,,,,
2019-09-02 10:00,,,,,,,
2019-09-02 11:00,,,,,,,
2019-09-02 12:00,,,,,,,
2019-09-02 13:00,,,,,,,
2019-09-02 14:00,,,,,,,
2019-09-02 15:00,,,,,,,
2019-09-02 16:00,,,,,,,
2019-09-02 17:00,18.57338235,24.07720588,26.20220588,48.843125,25.79003676,,
2019-09-02 18:00,17.31763578,20.63258786,22.22044728,45.26824281,26.33827476,,
2019-09-02 19:00,14.25900641,15.69551282,17.08974359,51.58108974,23.08355769,,
2019-09-02 20:00,12.58254019,12.65916399,13.39871383,50.78109325,25.10434084,,
2019-09-02 21:00,12.86984026,12.55910543,13.36102236,46.92587859,26.28894569,,
2019-09-02 22:00,11.55759868,9.424342105,9.983552632,43.60957237,26.65026316,,
2019-09-02 23:00,13.30760383,13.66453674,14.46964856,49.0372524,23.57482428,,
2019-09-03 00:00,13.67677316,15.38658147,16.36102236,52.71361022,24.24916933,,
2019-09-03 01:00,14.41200637,17.12101911,18.25159236,53.09535032,25.44089172,,
2019-09-03 02:00,13.9924359,16.10897436,17.17948718,53.31923077,25.81426282,,
2019-09-03 03:00,17.47121406,22.56230032,23.90734824,55.13389776,26.04594249,,
2019-09-03 04:00,17.53663462,22.59615385,23.84615385,55.32903846,26.16522436,,
2019-09-03 05:00,19.5115655,26.28753994,27.84025559,56.64875399,26.22920128,,
2019-09-03 06:00,17.2077492,21.99356913,23.20257235,51.85205788,26.29459807,,
2019-09-03 07:00,18.23525478,24.0477707,25.4044586,53.65627389,26.05519108,,
2019-09-03 08:00,15.68460064,19.24600639,20.217252399999996,50.504185299999996,26.02520767,,
2019-09-03 09:00,15.660127800000001,19.23642173,20.47923323,51.17760383,26.02175719,,
2019-09-03 10:00,17.74366559,22.90032154,24.32154341,52.629228299999994,26.43083601,,
2019-09-03 11:00,16.10348387,18.91935484,19.98387097,48.88429032,25.63374194,,
2019-09-03 12:00,14.01794872,17.05128205,17.88461538,54.44317308,22.94394231,,
2019-09-03 13:00,14.62660256,17.73397436,18.89423077,52.95301282,25.06400641,,
2019-09-03 14:00,13.65506452,15.67096774,16.63548387,52.59125806,25.14577419,,
2019-09-03 15:00,11.69439739,12.35179153,13.05211726,55.58104235,25.08035831,,
2019-09-03 16:00,,,,,,,
2019-09-03 17:00,15.76396396,18.7027027,19.92792793,61.62594595,26.72864865,,
2019-09-03 18:00,13.63402556,16.01597444,17.29392971,65.98108626,25.88722045,,
2019-09-03 19:00,11.93812698,15.02539683,16.15873016,73.70961905,24.74444444,,
2019-09-03 20:00,8.498248408,10.18471338,10.91401274,82.78920382,23.60694268,,
2019-09-03 21:00,5.00275641,2.657051282,2.967948718,81.78939103,23.2625,,
2019-09-03 22:00,4.643878205,2.0,2.307692308,81.90958333,23.06791667,,
2019-09-03 23:00,4.426424051000001,1.5854430380000002,1.800632911,81.19088608,23.04629747,,
2019-09-04 00:00,4.8364536739999995,2.57827476,2.974440895,80.89856230000001,22.96492013,,
2019-09-04 01:00,4.430188679,1.7295597480000002,1.949685535,80.45600629,22.93386792,,
2019-09-04 02:00,4.046835443,1.044303797,1.294303797,79.36503165,22.99990506,,
2019-09-04 03:00,3.784153355,0.626198083,0.7827476040000001,78.31821086,23.10063898,,
2019-09-04 04:00,3.5199369089999997,0.283911672,0.454258675,76.88334385,23.12078864,,
2019-09-04 05:00,3.383503185,0.108280255,0.18152866199999998,75.98735669,23.16372611,,
2019-09-04 06:00,3.7934504789999997,0.7252396170000001,0.8753993609999999,76.74255591,23.22670927,,
2019-09-04 07:00,4.123365385,1.195512821,1.5320512819999998,82.56762821,22.76310897,,
2019-09-04 08:00,6.269710611,6.758842444,7.231511254,89.71334405,21.94109325,,
2019-09-04 09:00,4.218717949,1.426282051,1.730769231,88.55416667,21.99022436,,
2019-09-04 10:00,4.419710611,1.59807074,1.8810289390000001,86.93498392,22.54247588,,
2019-09-04 11:00,4.5706730769999995,1.9519230769999998,2.3621794869999997,88.56455128,22.6550641,,
2019-09-04 12:00,5.017316294,2.955271565,3.341853035,89.40485623,22.90108626,,
2019-09-04 13:00,6.422540193,4.84244373,5.311897106,86.78987138,24.24533762,,
2019-09-04 14:00,7.4225,6.375,6.974358973999999,84.04564103,24.91621795,,
2019-09-04 15:00,9.74866242,10.38216561,11.21656051,82.29694268,25.4160828,,
2019-09-04 16:00,10.12601286,11.73954984,12.85209003,85.17672026,25.16073955,,
2019-09-04 17:00,12.73807074,15.21543408,16.36012862,81.09819936,26.16672026,,
2019-09-04 18:00,12.58482315,15.78135048,16.78135048,83.08935691,25.70807074,,
2019-09-04 19:00,12.84067524,18.81028939,19.95498392,90.01620579,24.44299035,,
2019-09-04 20:00,13.1249359,19.92307692,21.21794872,91.42051282,24.15762821,,
2019-09-04 21:00,12.9796129,19.40967742,20.79032258,90.69022581,24.27112903,,
2019-09-04 22:00,11.27354633,16.2172524,17.39297125,91.91095847,23.96009585,,
2019-09-04 23:00,12.52605096,18.89808917,20.05732484,92.45095541,23.99226115,,
2019-09-05 00:00,13.91448718,21.98397436,23.7275641,91.69544872,23.88878205,,
2019-09-05 01:00,10.55003195,15.079872199999999,16.21405751,92.43811502,23.64661342,,
2019-09-05 02:00,9.142038217,12.10509554,13.04140127,92.72640127,23.57802548,,
2019-09-05 03:00,7.75568254,8.977777778,9.666666667000001,92.57536508,23.54419048,,
