³¯Â¥,pm10,pm25
2020-07-20:10,10,7
2020-07-20:09,12,9
2020-07-20:08,16,9
2020-07-20:07,19,11
2020-07-20:06,20,11
2020-07-20:05,18,13
2020-07-20:04,21,14
2020-07-20:03,20,14
2020-07-20:02,17,12
2020-07-20:01,16,12
2020-07-19:24,17,13
2020-07-19:23,17,13
2020-07-19:22,18,15
2020-07-19:21,18,18
2020-07-19:20,21,19
2020-07-19:19,23,19
2020-07-19:18,21,16
2020-07-19:17,23,19
2020-07-19:16,22,18
2020-07-19:15,32,24
2020-07-19:14,23,16
2020-07-19:13,18,15
2020-07-19:12,12,9
2020-07-19:11,13,10
2020-07-19:10,14,13
2020-07-19:09,20,19
2020-07-19:08,24,20
2020-07-19:07,22,19
2020-07-19:06,21,19
2020-07-19:05,20,19
2020-07-19:04,21,18
2020-07-19:03,22,17
2020-07-19:02,19,16
2020-07-19:01,17,16
2020-07-18:24,19,17
2020-07-18:23,44,37
2020-07-18:22,51,42
2020-07-18:21,52,45
2020-07-18:20,51,44
2020-07-18:19,49,41
2020-07-18:18,45,37
2020-07-18:17,39,33
2020-07-18:16,40,30
2020-07-18:15,40,29
2020-07-18:14,39,32
2020-07-18:13,39,31
2020-07-18:12,39,27
2020-07-18:11,37,26
2020-07-18:10,39,25
2020-07-18:09,41,26
2020-07-18:08,34,24
2020-07-18:07,27,22
2020-07-18:06,28,21
2020-07-18:05,33,24
2020-07-18:04,34,25
2020-07-18:03,35,24
2020-07-18:02,36,25
2020-07-18:01,36,25
2020-07-17:24,33,24
2020-07-17:23,34,26
2020-07-17:22,38,27
2020-07-17:21,44,31
2020-07-17:20,43,31
2020-07-17:19,41,29
2020-07-17:18,43,31
2020-07-17:17,55,40
2020-07-17:16,55,39
2020-07-17:15,45,34
2020-07-17:14,42,31
2020-07-17:13,43,31
2020-07-17:12,38,27
2020-07-17:11,35,23
2020-07-17:10,33,19
2020-07-17:09,31,19
2020-07-17:08,25,17
2020-07-17:07,25,16
2020-07-17:06,22,17
2020-07-17:05,24,19
2020-07-17:04,25,18
2020-07-17:03,25,18
2020-07-17:02,23,17
2020-07-17:01,24,17
2020-07-16:24,23,17
2020-07-16:23,24,19
2020-07-16:22,25,19
2020-07-16:21,26,18
2020-07-16:20,30,22
2020-07-16:19,32,23
2020-07-16:18,35,26
2020-07-16:17,43,34
2020-07-16:16,40,30
2020-07-16:15,40,24
2020-07-16:14,34,23
2020-07-16:13,26,18
2020-07-16:12,28,17
2020-07-16:11,27,16
2020-07-16:10,26,15
2020-07-16:09,25,17
2020-07-16:08,21,13
2020-07-16:07,20,15
2020-07-16:06,19,13
2020-07-16:05,21,15
2020-07-16:04,21,15
2020-07-16:03,23,15
2020-07-16:02,23,15
2020-07-16:01,21,14
2020-07-15:24,19,14
2020-07-15:23,20,14
2020-07-15:22,19,14
2020-07-15:21,19,14
2020-07-15:20,13,9
2020-07-15:19,12,7
2020-07-15:18,11,5
2020-07-15:17,10,4
2020-07-15:16,9,5
2020-07-15:15,11,4
2020-07-15:14,12,5
2020-07-15:13,10,5
2020-07-15:12,9,2
2020-07-15:11,4,4
2020-07-15:10,9,3
2020-07-15:09,11,4
2020-07-15:08,9,4
2020-07-15:07,9,3
2020-07-15:06,6,4
2020-07-15:05,5,4
2020-07-15:04,6,3
2020-07-15:03,5,5
2020-07-15:02,6,3
2020-07-15:01,6,5
,,
,,
,,
